X,Y,Name,Description
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
120.955482,14.455864,Gov. P.F Espiritu elem. school,Latitude: 14.455864<br>Longitude: 120.955482<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.024573300000014,14.3729015,Poblacion elem. school,Latitude: 14.3729015<br>Longitude: 121.0245733<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
120.937859099999983,14.4274272,Mabolo 1 Elem. School,Latitude: 14.4274272<br>Longitude: 120.9378591<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
120.985904,14.389876,Bacoor Coliseum,Latitude: 14.389876<br>Longitude: 120.985904<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: 
121.180613,14.619994,Cover Court,Latitude: 14.619994<br>Longitude: 121.180613<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: 
120.959774,14.443701,Gawaran Elem. School,Latitude: 14.443701<br>Longitude: 120.959774<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
121.180613,14.619994,Cover Court,Latitude: 14.619994<br>Longitude: 121.180613<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: 
121.180613,14.619994,Cover Court,Latitude: 14.619994<br>Longitude: 121.180613<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: 
121.069879,14.512865,St. Michael Parish Church,Latitude: 14.512865<br>Longitude: 121.069879<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Church<br>Status of Center (Open/Closed): <br>Last Updated: 
120.975622,14.422508,BNHS MAIN,Latitude: 14.422508<br>Longitude: 120.975622<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: 
120.985031,14.627349,St. Michael Parish Church (PIC),Latitude: 14.627349<br>Longitude: 120.985031<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Church<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
120.972888,14.465027,Longos Elementary school,Latitude: 14.465027<br>Longitude: 120.972888<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
120.96,14.4616,Talaba Elementary school,Latitude: 14.4616<br>Longitude: 120.96<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.1367023,14.2313824,Bgry. Hall,Latitude: 14.2313824<br>Longitude: 121.1367023<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: 
121.180613,14.619994,Cover Court,Latitude: 14.619994<br>Longitude: 121.180613<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: 
121.136702,14.231382,Brgy. Hall,Latitude: 14.231382<br>Longitude: 121.136702<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: 
121.180613,14.619994,Cover Court,Latitude: 14.619994<br>Longitude: 121.180613<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: 
121.180613,14.619994,Cover Court,Latitude: 14.619994<br>Longitude: 121.180613<br>Town/City: Bacoor City<br>Number of Families: <br>Number of Individuals: <br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: 
