X,Y,Name,Description
125.004952,11.2216155,Tacloban Astrodome,"Town/City: Tacloban City<br>Number of Families: 48<br>Number of Individuals Affected: 200<br>Capacity: <br>Category: Gym<br>Status of Center (Open/Closed): Open<br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
125.0005102,11.2207946,Sangkahan Elementary School,Town/City: Tacloban City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
125.0222254,11.2049875,San Jose Elementary School,Town/City: Tacloban City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
125.0006175,11.2369061,Leyte National High School,"Town/City: Tacloban City<br>Number of Families: 399<br>Number of Individuals Affected: 1973<br>Capacity: 0<br>Category: School<br>Status of Center (Open/Closed): Opem<br>Last Updated: Dec 5, 2014 8:00:00 AM PST"
125.0078702,11.2436092,Tacloban City Hall,"Town/City: Tacloban City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: City Hall<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
125.002682800000017,11.2345831,San Fernando Central School,"Town/City: Tacloban City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
125.007736100000017,11.2420229,Balyu-an Convention Center,"Town/City: Tacloban City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
122.7374661,9.9799562,Filomena Gequillana Elem. School,"Town/City: Brgy. Dancalan, Ilog<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: "
125.001663600000015,11.2329335,Redemptorist Church,"Town/City: Tacloban City<br>Number of Families: 179<br>Number of Individuals Affected: 688<br>Capacity: 0<br>Category: Church<br>Status of Center (Open/Closed): Open<br>Last Updated: Dec 5, 2014 8:00:00 AM PST"
124.608870100000019,11.004983,Domonar Elementary School,"Town/City: Ormoc City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
124.9739885,11.2484497,Brgy.74 Brgy Hall ,"Town/City: Nula Tula<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
124.9640536,11.29846,Cabalawan Elementary School,"Town/City: Tacloban City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
124.9972916,11.2188162,Brgy. 59 (Picas) Brgy. Hall,"Town/City: Brgy 59 Picas<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
124.9611086,11.2523194,Basper Elementary School,"Town/City: Tacloban City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
123.9569888,9.6097786,Alburquerque gym,"Town/City: Poblacion Alburquerque<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
123.943888799999982,9.6124417,Bahi Barangay Hall,"Town/City: Bahi, Alburquerque<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
124.03117330000002,9.6373445,Bahi Health Center,"Town/City: Bahi, Alburquerque<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
123.9603844,9.6083479,San Roque Chapel,"Town/City: Cantiguib, Alburquerque<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: Church<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
124.62680880000002,11.0402325,Domonar Elementary School,"Town/City: Ormoc City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
123.9692223,9.6533636,Dangay Barangay Hall,"Town/City: Dangay Alburquerque<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: Brgy Hall<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
124.572236,11.055293,Airport Elementary School,Town/City: Ormoc City<br>Number of Families: <br>Number of Individuals Affected: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
124.9591935,11.2874865,Tacloban City National High School,"Town/City: Tacloban City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
124.6088648,11.0050646,Esperanza Elementary School,"Town/City: Ormoc City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
124.9739885,11.2484497,Bliss Elementary School,"Town/City: Tacloban City <br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 1914 8:00:00 AM PST"
124.603445,11.005953,Alegria-Batuan Elementary School,Town/City: Ormoc City<br>Number of Families: <br>Number of Individuals Affected: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
124.840358200000011,10.1653688,TOPS,"Town/City: Maasin City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
124.6474,11.124276,Tongonan Elementary School,Town/City: Brgy. Tingonan/Ormoc City<br>Number of Families: <br>Number of Individuals Affected: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
124.6088862,11.0050224,LEONDONI ELEMENTARY SCHOOL,"Town/City: Maasin City<br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 2014 8:00:00 AM PST"
124.6097149,11.0044065,Ormoc City Superdome,"Town/City: Ormoc City <br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: <br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 1914 8:00:00 AM PST"
124.6042594,11.0111675,New Ormoc City National High School,"Town/City: Ormoc City <br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 1914 8:00:00 AM PST"
124.6088675,11.005062,Gaas Elementary School,"Town/City: Ormoc City <br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 1914 8:00:00 AM PST"
124.6088916,11.0050119,Green Valley Elementary School,"Town/City: Ormoc City <br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 1914 8:00:00 AM PST"
124.6088916,11.0050119,Hugpa Elementary School,"Town/City: Ormoc City <br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 1914 8:00:00 AM PST"
124.560239,11.0171466,Lao Elementary School,"Town/City: Ormoc City <br>Number of Families: 0<br>Number of Individuals Affected: 0<br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: Dec 2, 1914 8:00:00 AM PST"
124.93,11.2049,Salvacion Elementary School,Town/City: Tacloban City<br>Number of Families: <br>Number of Individuals Affected: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
124.59680560000001,12.0713848,Northwest Samar State University,Town/City: Calbayog City<br>Number of Families: <br>Number of Individuals Affected: <br>Capacity: <br>Category: School<br>Status of Center (Open/Closed): <br>Last Updated: 
