"latitude","longitude","name"
"11.2","118.7","110 km Northwest of Roxas, Northern Palawan"
"10.4","119.6","Puerto Princesa, Philippines"
"9.295552","123.281494","City of Dumaguete, Philippines"
"9","123.7","60Km Southeast of Dumaguete City"
"8.9","123.9","70km South of Tagbilaran City or 90km SE of Dumaguete City"
"7.215","126.54","Manay, Philippines"
"8.8","124","70km South of Tagbilaran City or 95km SE of Dumaguete City"
"8.4","124.4","40km west of CDO"
"7.512515","126.176261","Barangay Andap, Compostela Valley"
"8.4","124.7","Mindanao, Philippines"
"9.295552","123.281494","City of Dumaguete, Philippines"
"10.315699","123.885437","Cebu City, Philippines"
"8.947538","125.540623","Butuan City, Philippines"
"8.023484","126.071473","Trento, Agusan"
"8.470643","124.647628","Cagayan de Oro"
"10.333333","123.933333","Mandaue City, Philippines"
"11.25","125","Tacloban City, Philippines"
"8.947538","125.540623","Butuan City, Philippines"
"8.1","125.5","50 km East of Malaybalay, Bukidnon"
"8","125.8","Over Loreto,Agusan del Sur"
"9.607799","125.640046","St John's School, Bacuag, Philippines"
"11.221595","125.004985","Tacloban City, Philippines"
"8.242441","124.260567","Integrated Bus & Jeepney Terminal North Bound, Iligan City, Philippines"
"8.242441","124.260567","Integrated Bus & Jeepney Terminal North Bound, Iligan City, Philippines"
"11.160846","124.987411","Palo, Leyte"
"11.22161","125.005001","Tacloban City, Philippines"
"9.549398","123.978646","Caraga, Philippines"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"12.879721","121.774017","Philippines"
"7.665968","126.084695","Compostela, Philippines"
"7.833333","125.816667","Laak, Philippines"
"7.282129","125.857401","Mabini, Philippines"
"7.416381","126.001089","Maco, Philippines"
"7.352189","126.15454","Maragusan, Philippines"
"7.5","125.933333","Mawab, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.7","125.983333","Montevista, Philippines"
"7.6","125.966667","Nabunturan, Philippines"
"7.554702","126.140353","New Bataan, Philippines"
"7.255222","126.156203","Pantukan, Philippines"
"7.583333","125.766667","Asuncion, Philippines"
"7.360556","125.706389","Carmen, Philippines"
"7.619497","125.627835","Kapalong, Philippines"
"7.583333","125.833333","New Corella, Philippines"
"7.391389","125.778897","San Isidro, Tagum City, Philippines"
"5.916667","125.65","Jose Abad Santos, Philippines"
"6.266667","125.666667","Don Marcelino, Philippines"
"7.042777","126.449221","Tarragona, Philippines"
"6.943763","126.246748","Mati, Philippines"
"7.873546","126.341495","Boston, Philippines"
"7.314628","126.542442","Caraga, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.63291","126.536683","Baganga, Philippines"
"7.258627","126.160322","Pantukan, Philippines"
"7.56287","126.159579","New Bataan, Philippines"
"7.61089","125.9804","Nabunturan, Philippines"
"7.7","125.983333","Montevista, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.365808","126.168273","Maragusan, Philippines"
"7.501362","125.937453","Mawab, Philippines"
"7.429999","126.020315","Maco, Philippines"
"7.286216","125.862207","Mabini, Philippines"
"7.849659","125.8304","Laak, Philippines"
"7.665968","126.084695","Compostela, Philippines"
"7.51811","125.59006","ABA Technical School of Sto. Tomas, National Highway, Santo Tomas, Philippines"
"7.391389","125.778897","San Isidro, Tagum City, Philippines"
"7.586736","125.840886","New Corella, Philippines"
"7.620858","125.633328","Kapalong, Philippines"
"7.438089","125.680638","Dujali, Philippines"
"7.367365","125.711882","Carmen, Philippines"
"7.583333","125.766667","Asuncion, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"5.946717","125.663733","Jose Abad Santos, Philippines"
"6.27281","125.669413","Don Marcelino, Philippines"
"7.042777","126.449221","Tarragona, Philippines"
"6.82444","126.083","San Isidro, Philippines"
"7.215","126.54","Manay, Philippines"
"7.108726","126.198616","Lupon, Philippines"
"6.659663","126.098275","Governor Generoso, Philippines"
"7.810625","126.410118","Cateel, Philippines"
"7.314629","126.542442","Caraga, Philippines"
"7.873546","126.341495","Boston, Philippines"
"7.160841","126.160127","Banaybanay, Philippines"
"7.63291","126.536683","Baganga, Philippines"
"7.512515","126.176261","Compostela Valley, Philippines"
"7.512515","126.176261","Compostela Valley, Philippines"
"12.879721","121.774017","Philippines"
"12.879721","121.774017","Philippines"
"12.879721","121.774017","Philippines"
"12.879721","121.774017","Philippines"
"12.879721","121.774017","Philippines"
"12.879721","121.774017","Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.556404","126.142756","New Bataan, Philippines"
"7.554702","126.140353","New Bataan, Philippines"
"7.554702","126.140353","New Bataan, Philippines"
"7.554702","126.140353","New Bataan, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.6","125.966667","Nabunturan, Philippines"
"7.6","125.966667","Nabunturan, Philippines"
"7.6","125.966667","Nabunturan, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"12.879721","121.774017","Philippines"
"7.665968","126.084695","Compostela, Philippines"
"7.833333","125.816667","Laak, Philippines"
"7.282129","125.857401","Mabini, Philippines"
"7.416381","126.001089","Maco, Philippines"
"7.352189","126.15454","Maragusan, Philippines"
"7.5","125.933333","Mawab, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.7","125.983333","Montevista, Philippines"
"7.6","125.966667","Nabunturan, Philippines"
"7.554702","126.140353","New Bataan, Philippines"
"7.255222","126.156203","Pantukan, Philippines"
"7.583333","125.766667","Asuncion, Philippines"
"7.360556","125.706389","Carmen, Philippines"
"7.619497","125.627835","Kapalong, Philippines"
"7.583333","125.833333","New Corella, Philippines"
"7.391389","125.778897","San Isidro, Tagum City, Philippines"
"5.916667","125.65","Jose Abad Santos, Philippines"
"6.266667","125.666667","Don Marcelino, Philippines"
"7.042777","126.449221","Tarragona, Philippines"
"6.943763","126.246748","Mati, Philippines"
"7.873546","126.341495","Boston, Philippines"
"7.314628","126.542442","Caraga, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.63291","126.536683","Baganga, Philippines"
"7.258627","126.160322","Pantukan, Philippines"
"7.56287","126.159579","New Bataan, Philippines"
"7.61089","125.9804","Nabunturan, Philippines"
"7.7","125.983333","Montevista, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.365808","126.168273","Maragusan, Philippines"
"7.501362","125.937453","Mawab, Philippines"
"7.429999","126.020315","Maco, Philippines"
"7.286216","125.862207","Mabini, Philippines"
"7.849659","125.8304","Laak, Philippines"
"7.665968","126.084695","Compostela, Philippines"
"7.51811","125.59006","ABA Technical School of Sto. Tomas, National Highway, Santo Tomas, Philippines"
"7.391389","125.778897","San Isidro, Tagum City, Philippines"
"7.586736","125.840886","New Corella, Philippines"
"7.620858","125.633328","Kapalong, Philippines"
"7.438089","125.680638","Dujali, Philippines"
"7.367365","125.711882","Carmen, Philippines"
"7.583333","125.766667","Asuncion, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"5.946717","125.663733","Jose Abad Santos, Philippines"
"6.27281","125.669413","Don Marcelino, Philippines"
"7.042777","126.449221","Tarragona, Philippines"
"6.82444","126.083","San Isidro, Philippines"
"7.215","126.54","Manay, Philippines"
"7.108726","126.198616","Lupon, Philippines"
"6.659663","126.098275","Governor Generoso, Philippines"
"7.810625","126.410118","Cateel, Philippines"
"7.314629","126.542442","Caraga, Philippines"
"7.873546","126.341495","Boston, Philippines"
"7.160841","126.160127","Banaybanay, Philippines"
"7.63291","126.536683","Baganga, Philippines"
"7.512515","126.176261","Compostela Valley, Philippines"
"7.512515","126.176261","Compostela Valley, Philippines"
"12.879721","121.774017","Philippines"
"12.879721","121.774017","Philippines"
"12.879721","121.774017","Philippines"
"12.879721","121.774017","Philippines"
"12.879721","121.774017","Philippines"
"12.879721","121.774017","Philippines"
